subspace,experiment,anchor_layer,probe_variable,rank,dcm_full_rank_acc,dcm_subspace_acc,probe_full,probe_full_source,probe_proj,probe_orth,orth_drop_vs_full,proj_minus_orth,baseline,n,n_classes
payload_lamb0p1,answer_lookback-payload,16,query_pair,0.0,0.0,0.0,0.992,phase2,0.254,0.984,0.008000000000000007,-0.73,0.254,500,4
payload_lamb0p1,answer_lookback-payload,18,query_pair,0.0,0.0,0.0,0.992,phase2,0.254,0.992,0.0,-0.738,0.254,500,4
payload_lamb0p1,answer_lookback-payload,20,query_pair,0.0,0.0,0.0,0.992,phase2,0.254,0.992,0.0,-0.738,0.254,500,4
payload_lamb0p1,answer_lookback-payload,22,query_pair,0.0,0.0,0.0,1.0,phase2,0.254,1.0,0.0,-0.746,0.254,500,4
payload_lamb0p1,answer_lookback-payload,24,query_pair,0.0,0.0,0.0,1.0,phase2,0.254,1.0,0.0,-0.746,0.254,500,4
payload_lamb0p1,answer_lookback-payload,26,query_pair,1.0,0.0,0.0,1.0,phase2,0.616,1.0,0.0,-0.384,0.254,500,4
payload_lamb0p1,answer_lookback-payload,28,query_pair,2.0,0.025,0.025,1.0,phase2,0.944,0.992,0.008000000000000007,-0.04800000000000004,0.254,500,4
payload_lamb0p1,answer_lookback-payload,30,query_pair,2.0,0.075,0.05,1.0,phase2,0.936,0.992,0.008000000000000007,-0.05599999999999994,0.254,500,4
payload_lamb0p1,answer_lookback-payload,32,query_pair,3.0,0.0625,0.075,1.0,phase2,0.952,1.0,0.0,-0.04800000000000004,0.254,500,4
payload_lamb0p1,answer_lookback-payload,34,query_pair,4.0,0.0625,0.0875,1.0,phase2,0.936,1.0,0.0,-0.06399999999999995,0.254,500,4
payload_lamb0p1,answer_lookback-payload,36,query_pair,21.0,0.1875,0.1625,1.0,phase2,0.968,0.912,0.08799999999999997,0.05599999999999994,0.254,500,4
payload_lamb0p1,answer_lookback-payload,38,query_pair,24.0,0.2,0.2,0.992,phase2,0.984,0.904,0.08799999999999997,0.07999999999999996,0.254,500,4
payload_lamb0p1,answer_lookback-payload,40,query_pair,28.0,0.3875,0.2875,0.992,phase2,0.976,0.856,0.136,0.12,0.254,500,4
payload_lamb0p1,answer_lookback-payload,42,query_pair,26.0,0.8625,0.65,0.992,phase2,0.976,0.88,0.11199999999999999,0.09599999999999997,0.254,500,4
payload_lamb0p1,answer_lookback-payload,44,query_pair,26.0,0.975,0.85,0.992,phase2,0.976,0.864,0.128,0.11199999999999999,0.254,500,4
payload_lamb0p1,answer_lookback-payload,46,query_pair,32.0,1.0,0.95,0.992,phase2,0.936,0.848,0.14400000000000002,0.08800000000000008,0.254,500,4
payload_lamb0p1,answer_lookback-payload,47,query_pair,38.0,1.0,0.6125,0.992,audit_recomputed,0.936,0.896,0.09599999999999997,0.040000000000000036,0.254,500,4
