folder,dormant_mode,variant,full_iia,illusory_iia,complement_iia,probe_full,probe_proj,probe_orth,diff_rms_disc,diff_rms_dorm,q_energy_disc,q_energy_dorm,json_path,directions_path
l32_k512_dcm_min_diff,dcm_min_diff,plus,1.0,0.0125,1.0,1.0,1.0,1.0,19.410158157348633,0.7485336661338806,1.9512919187545776,4.456042289733887,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_k512_dcm_min_diff/makelov_illusion_audit.json,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_k512_dcm_min_diff/directions.pt
l32_k512_dcm_min_diff,dcm_min_diff,minus,1.0,0.0125,1.0,1.0,1.0,1.0,19.410158157348633,0.7485336661338806,1.9512919187545776,4.456042289733887,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_k512_dcm_min_diff/makelov_illusion_audit.json,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_k512_dcm_min_diff/directions.pt
l32_q33_40_k512_r2048,q_rowspace_min_diff,plus,1.0,0.0125,1.0,1.0,1.0,1.0,19.410158157348633,7.344262371589139e-07,1.9512919187545776,13.130914688110352,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_q33_40_k512_r2048/makelov_illusion_audit.json,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_q33_40_k512_r2048/directions.pt
l32_q33_40_k512_r2048,q_rowspace_min_diff,minus,1.0,0.0125,1.0,1.0,1.0,1.0,19.410158157348633,7.344262371589139e-07,1.9512919187545776,13.130914688110352,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_q33_40_k512_r2048/makelov_illusion_audit.json,results/dcm_runs/full_dcm_svd_n80_lr0p1/makelov_illusion/l32_q33_40_k512_r2048/directions.pt
